snapshot_date,campaign,adset,daily_budget
2026-07-18,害虫ブロッカー,害虫ブロッカー,61000
2026-07-18,4WAY 取り付けOK 小型瞬間冷却ハンディファン,4WAY 取り付けOK 小型瞬間冷却ハンディファン,60000
2026-07-18,ナノガラス脱毛パッド,ナノガラス脱毛パッド２,50000
2026-07-18,形状記憶日傘,形状記憶日傘,35000
2026-07-18,形状記憶日傘,形状記憶日傘 _同時並行テスト,25000
2026-07-18,カタログ全部（テスト）,カタログ全部（テスト）,30000
2026-07-18,完全遮光・形状記憶・晴雨兼用・UV日傘,完全遮光・形状記憶・晴雨兼用・UV日傘,28000
2026-07-18,接触冷感UVパーカー,接触冷感UVパーカー,25000
2026-07-18,偏光・調光サングラス,偏光・調光サングラス,22000
2026-07-18,卓上冷感クーラー,卓上冷感クーラー,19000
2026-07-18,ディスペンサー,ディスペンサー0520類似5%,17000
2026-07-18,接触冷感UVアームカバー,接触冷感UVアームカバー,17000
2026-07-18,ムダ毛シェーバー,ムダ毛シェーバー,16000
2026-07-18,UV歯ブラシ除菌器,UV歯ブラシ除菌器 - コピー,13000
2026-07-18,健康サンダル,足裏ツボ ｖ２,13000
2026-07-18,湯上がりガーゼワンピース,湯上がりガーゼワンピース,13000
2026-07-18,携帯電動シェーバー,携帯電動シェーバー,13000
2026-07-18,瞬間冷感ポンチョ,瞬間冷感ポンチョ,13000
2026-07-18,バランスケアスリッパ,バランスケアスリッパ v2,10000
2026-07-18,3WAYサーキュレーター扇風機,3WAYサーキュレーター扇風機,10000
